Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line Number,Line,Function,Assembly
IND,11860,11.54,10.54,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,cbz x0  #0x4a3d78
IND,17310,7.74,6.74,0,0,0,(null),0,(null),(null),(null)
IND,1483,76.98,75.98,1398,73,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,895,"    if (next == after || !KeyIsAfterNode(key, next)) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.eq #0x5e733c
IND,5749,19.35,18.35,5749,0,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,cbz w2  #0x5f499c
IND,5835,18.87,17.87,5835,0,0,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b.ne #0x4a3e40
IND,5843,18.41,17.41,0,1,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x3
IND,11086,9.65,8.65,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,549,"      if (out_of_order_node && x != head_ &&",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz x24  #0x5e6d58
IND,5862,18.09,17.09,5862,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b.ls #0x4a3db8
IND,690,146.41,145.41,552,133,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,tbz w0  #0x1f  #0x5e729c
IND,4781,20.26,19.26,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,blr x3
IND,5878,14.48,13.48,0,0,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ret 
IND,5812,14.02,13.02,0,0,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,ret 
IND,754,107.74,106.74,743,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,884,"    if (next != nullptr) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,cbz x19  #0x5e729c
IND,5931,13.38,12.38,0,2,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,blr x2
IND,5749,13.53,12.53,0,0,0,???,0,???,???,???
IND,5807,13.31,12.31,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x1
IND,5604,13.68,12.68,0,0,0,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ret 
IND,12353,6.02,5.02,0,0,0,(null),0,(null),(null),(null)
