Avg. Issue Latency,Count,Location,Line Number,Line,Function,Assembly,Saturated
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/mem/maybe_uninit.rs,308,(null),_ZN87_$LT$T$u20$as$u20$alloc..slice..$LT$impl$u20$$u5b$T$u5d$$GT$..to_vec_in..ConvertVec$GT$6to_vec17hd6e6d577671e6c0fE,ldr x0  [sp  #0x18],0
7.00,1,src/hotline/lat_map.c,74,(null),parse_and_insert_lat_entry,ldr x0  [x21  #0xc18],0
7.00,1,src/hotline/bmiss_map.c,47,(null),bmiss_map_compare,ldr x0  [x1  #0x10],0
7.00,1,src/hotline/btree.c,197,(null),btree_search,ldurh w1  [x1  #5],0
7.00,1,src/hotline/btree.c,492,(null),btree_node_set,ldr x6  [x6  #0xce0],0
7.00,1,src/hotline/fname_map.c,234,(null),va_to_file_offset,ldr x0  [x0  #0xce0],0
7.00,1,???,0,???,Builtins_ElementsTransitionAndStore_InBounds,str x4  [sp  #0x50],0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs,1696,(null),_ZN5alloc6string6String6as_str17ha5827d56482b6e5eE,str x8  [sp  #0x20],0
7.00,1,src/hotline/lat_map.c,166,(null),parse_and_insert_lat_entry,stp q0  q0  [x19  #0x60],0
7.00,1,src/hotline/lat_map.c,166,(null),parse_and_insert_lat_entry,stp q0  q0  [x19  #0xa0],0
7.00,1,src/hotline/lat_map.c,82,(null),parse_and_insert_lat_entry,str xzr  [x1  #0xc0],0
