L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line Number,Line,Function,Assembly
100.00,82.61 | 17.39 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,242,"    KeyHandle handle = table_->Allocate(encoded_len, &buf);",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x0  [x0  #8]
100.00,95.24 | 4.76 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1072,"      if (UNLIKELY(i == 0 && splice->next_[i] != nullptr &&",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x1  [x1]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,237,"  void FillOne() {",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,stp x21  x22  [sp  #0x20]
100.00,40.00 | 60.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,256,"  }",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x1  [x0]
100.00,25.00 | 66.67 | 8.33 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1115,"}",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldp x25  x26  [sp  #0x40]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,109,"                             Logger* logger) {",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,str x6  [sp  #0x58]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,237,"  void FillOne() {",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,str x5  [sp  #0x48]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/skiplistrep.cc,35,"  KeyHandle Allocate(const size_t len, char** buf) override {",_ZN7rocksdb12_GLOBAL__N_111SkipListRep8AllocateEmPPc,stp x21  x22  [sp  #0x20]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,919,"bool InlineSkipList<Comparator>::Insert(const char* key, Splice* splice,",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,stp x23  x24  [sp  #0x30]
100.00,95.00 | 5.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,324,"      *bytes_read_ += VarintLength(16) + 16 + FLAGS_item_size;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,str x0  [x2]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,919,"bool InlineSkipList<Comparator>::Insert(const char* key, Splice* splice,",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,stp x19  x20  [sp  #0x10]
100.00,89.19 | 10.81 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,897,"      *out_prev = before;",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x0  [sp  #0x68]
100.00,5.26 | 94.74 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,324,"      *bytes_read_ += VarintLength(16) + 16 + FLAGS_item_size;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ldr x2  [x19  #0x20]
100.00,24.00 | 76.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,143,"}",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,ldr x3  [sp  #0x58]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,792,"  auto prefix = sizeof(std::atomic<Node*>) * (height - 1);",_ZN7rocksdb12_GLOBAL__N_111SkipListRep8AllocateEmPPc,str w3  [x0]
100.00,73.68 | 26.32 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,237,"  void FillOne() {",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x5  [x1]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/random.cc,34,"}",_ZN7rocksdb6Random14GetTLSInstanceEv,ldr x1  [x1  #0xba8]
100.00,36.36 | 63.64 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,911,"  for (int i = recompute_level - 1; i >= 0; --i) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldp x23  x24  [sp  #0x30]
100.00,92.31 | 7.69 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,???,0,???,???,???
100.00,85.29 | 14.71 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,898,"      *out_next = next;",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x0  [sp  #0x70]
100.00,8.33 | 87.50 | 4.17 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,256,"  }",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldp x21  x22  [sp  #0x20]
84.21,6.25 | 93.75 | 0.00 | 0.00,15.79,0.00 | 66.67 | 33.33 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,325,"      ++*read_hits_;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ldr x1  [x19  #0x38]
100.00,48.00 | 48.00 | 4.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,129,"      reinterpret_cast<uintptr_t>(aligned_alloc_ptr_) & (kAlignUnit - 1);",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,ldr x0  [x19  #0x8c8]
100.00,50.00 | 42.31 | 7.69 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,133,"  if (needed <= alloc_bytes_remaining_) {",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,ldr x2  [x19  #0x8d0]
100.00,20.83 | 75.00 | 4.17 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1115,"}",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldp x21  x22  [sp  #0x20]
100.00,61.11 | 38.89 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/dbformat.h,1117,"        DecodeFixed64(bkey.data() + bkey.size() - kNumInternalBytes) >> 8;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldur x0  [x0  #-8]
100.00,51.85 | 48.15 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1115,"}",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x1  [x1  #0xba8]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/coding.h,335,"  return Slice(p, len);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,stp x0  x1  [sp  #0x68]
100.00,93.75 | 6.25 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,324,"      *bytes_read_ += VarintLength(16) + 16 + FLAGS_item_size;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,str x0  [x2]
100.00,78.95 | 21.05 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x3  [x3  #0x10]
100.00,55.00 | 45.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,939,"  if (splice->height_ < max_height) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr w0  [x21]
100.00,43.75 | 56.25 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,919,"bool InlineSkipList<Comparator>::Insert(const char* key, Splice* splice,",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x6  [x5]
100.00,73.68 | 26.32 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1077,"      if (UNLIKELY(i == 0 && splice->prev_[i] != head_ &&",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x3  [x0]
100.00,70.97 | 29.03 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x0  [x26  #0x10]
100.00,10.00 | 90.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,243,"    assert(buf != nullptr);",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x1  [sp  #0x40]
100.00,55.00 | 45.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/coding.h,335,"  return Slice(p, len);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldur w25  [x19  #-8]
100.00,86.36 | 9.09 | 4.55 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,253,"    assert(p == buf + encoded_len);",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x0  [sp  #0x40]
100.00,5.26 | 89.47 | 5.26 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1115,"}",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldp x29  x30  [sp]  #0x80
100.00,82.61 | 17.39 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,250,"    Slice bytes = generator_.Generate(FLAGS_item_size);",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr w2  [x22]
75.00,100.00 | 0.00 | 0.00 | 0.00,25.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
95.83,34.78 | 65.22 | 0.00 | 0.00,4.17,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/dbformat.h,1115,"        DecodeFixed64(akey.data() + akey.size() - kNumInternalBytes) >> 8;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x21  x19]
100.00,93.75 | 6.25 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,325,"      ++*read_hits_;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,str x0  [x1]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/skiplistrep.cc,35,"  KeyHandle Allocate(const size_t len, char** buf) override {",_ZN7rocksdb12_GLOBAL__N_111SkipListRep8AllocateEmPPc,stp x19  x20  [sp  #0x10]
100.00,22.73 | 72.73 | 4.55 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,237,"  void FillOne() {",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x1  [x1  #0xe38]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,906,"void InlineSkipList<Comparator>::RecomputeSpliceLevels(const DecodedKey& key,",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,stp x29  x30  [sp  #-0x80]!
100.00,71.43 | 28.57 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,922,"  const DecodedKey key_decoded = compare_.decode_key(key);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x0  [x0  #0x10]
100.00,9.52 | 90.48 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,???,0,???,???,???
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,109,"                             Logger* logger) {",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,stp x29  x30  [sp  #-0x60]!
100.00,83.33 | 16.67 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/random.cc,34,"}",_ZN7rocksdb6Random14GetTLSInstanceEv,ldp x29  x30  [sp]  #0x30
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/aarch64-linux-gnu/include/bits/string_fortified.h,29,"  return __builtin___memcpy_chk (__dest, __src, __len,",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,str x3  [x20  #8]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/random.cc,34,"}",_ZN7rocksdb6Random14GetTLSInstanceEv,ldr x2  [x1]
88.24,6.67 | 93.33 | 0.00 | 0.00,11.76,0.00 | 50.00 | 50.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,325,"      ++*read_hits_;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ldr x1  [x19  #0x38]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,237,"  void FillOne() {",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,stp x19  x20  [sp  #0x10]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/random.cc,23,"Random* Random::GetTLSInstance() {",_ZN7rocksdb6Random14GetTLSInstanceEv,str x2  [sp  #0x28]
100.00,84.62 | 7.69 | 7.69 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,325,"      ++*read_hits_;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,str x0  [x1]
100.00,94.74 | 5.26 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,505,"  while (height < kMaxHeight_ && height < kMaxPossibleHeight &&",_ZN7rocksdb12_GLOBAL__N_111SkipListRep8AllocateEmPPc,ldr w3  [x0]
100.00,0.00 | 50.00 | 0.00 | 50.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,src/hotline/lat_map.c,87,(null),parse_and_insert_lat_entry,ldp x4  x5  [x0]
100.00,62.96 | 37.04 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memory/arena.cc,143,"}",_ZN7rocksdb5Arena15AllocateAlignedEmmPNS_6LoggerE,ldp x19  x20  [sp  #0x10]
100.00,47.06 | 52.94 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,989,"      } else if (splice->prev_[recompute_height] != head_ &&",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x1  [x21  #8]
100.00,7.69 | 92.31 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,922,"  const DecodedKey key_decoded = compare_.decode_key(key);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x4  [x4  #0x970]
100.00,84.62 | 15.38 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,1077,"      if (UNLIKELY(i == 0 && splice->prev_[i] != head_ &&",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldr x3  [x3  #0x10]
92.31,75.00 | 25.00 | 0.00 | 0.00,7.69,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,src/hotline/fname_map.c,221,(null),va_to_file_offset,ldr x5  [x4]
92.31,0.00 | 100.00 | 0.00 | 0.00,7.69,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,324,"      *bytes_read_ += VarintLength(16) + 16 + FLAGS_item_size;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ldr w0  [x0]
100.00,77.78 | 22.22 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE6InsertILb0EEEbPKcPNS5_6SpliceEb,ldrb w0  [x1]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,242,"    KeyHandle handle = table_->Allocate(encoded_len, &buf);",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x3  [x0]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,255,"    *bytes_written_ += encoded_len;",_ZN7rocksdb19FillBenchmarkThread7FillOneEv,ldr x2  [x19  #0x18]
