L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line Number,Line,Function,Assembly
100.00,57.14 | 42.85 | 0.02 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [sp  #0x68]
99.99,84.30 | 15.65 | 0.06 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,???,0,???,???,???
100.00,78.29 | 21.67 | 0.03 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,???,0,???,???,???
100.00,60.37 | 39.47 | 0.17 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x4  [x4  #0xba8]
100.00,56.32 | 43.68 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x1  #0xba8]
100.00,83.74 | 16.18 | 0.07 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xa88]
99.94,46.42 | 24.27 | 7.53 | 21.78,0.06,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x19  [x1]
100.00,68.48 | 31.32 | 0.20 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x0  #0x4e0]
100.00,88.04 | 11.96 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x22  #0x10]
100.00,60.77 | 39.03 | 0.20 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x0  [x27  #0x10]
100.00,99.51 | 0.49 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x2  x1  [sp  #0x48]
100.00,77.87 | 22.06 | 0.05 | 0.02,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0]
100.00,99.81 | 0.10 | 0.08 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,stp x19  x20  [sp  #0x10]
100.00,58.54 | 41.39 | 0.05 | 0.02,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x10]
100.00,99.70 | 0.29 | 0.01 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/coding.h,331,"  uint32_t len = 0;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str wzr  [sp  #0x58]
100.00,99.77 | 0.23 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x23  x24  [sp  #0x30]
