Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
16.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2010,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$14grow_amortized17hd3b1e645444d6d18E,ldr x10  [sp  #0x80]
15.00,1,0,/usr/lib/aarch64-linux-gnu/stdlib/msort.c:160,???,???,ldp x23  x24  [sp  #0x30]
15.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f0,(null),???,???
7.50,2,0,/home/ubuntu/hotline_c/hotline.c:228,???,vm_spe_btree_compare,ldr x3  [x1  #8]
5.00,3,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x7  [x0  #8]
15.00,1,0,/home/ubuntu/hotline_c/hotline.c:734,???,process_aux_buffer,ldr x0  [sp  #0x60]
7.50,2,0,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x1  [x0]
7.50,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN5alloc3vec16Vec$LT$T$C$A$GT$15append_elements17hf2652374cea29598E,ldr x8  [sp  #0x28]
15.00,1,0,/home/ubuntu/src/records/read.rs:249,???,_ZN15perf_event_data7records4read10GroupEntry2id17hb332e292fc86fea2E,str x0  [sp]
14.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x19e19b8,(null),_ZN2v88internal4wasm15InstanceBuilder23ProcessImportedFunctionENS0_6HandleINS0_23WasmTrustedInstanceDataEEEiiNS3_INS0_6StringEEES7_NS3_INS0_6ObjectEEENS1_15WellKnownImportE,bl #0x1aa6e70
7.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldur w2  [x0  #1]
14.00,1,0,/home/ubuntu/hotline_c/hotline.c:548,???,parse_spe_record,ldrb w0  [x0  #0x36]
2.00,7,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x19  x20  [sp  #0x10]
7.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x23  x24  [sp  #0x30]
14.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:135,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x58]
6.50,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3395,???,???,ldp x29  x30  [sp]  #0x40
13.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe5b4,(null),???,???
13.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xee6464,(null),_ZN4node6Buffer12_GLOBAL__N_111StringWriteILNS_8encodingE0EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE,ldp x1  x2  [sp  #0x40]
6.50,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldr w2  [x0  #4]
13.00,1,0,/home/ubuntu/hotline_c/hotline.c:879,???,process_aux_record,ldp q2  q3  [x8]
6.50,2,0,/home/ubuntu/hotline_c/btree.c:215,???,btree_node_bsearch,ldr x25  [sp  #0x40]
6.50,2,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x21  x22  [sp  #0x20]
6.50,2,0,/home/ubuntu/hotline_c/btree.c:638,???,btree_get0,ldp x23  x24  [sp  #0x30]
6.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3515,???,???,ldp x23  x24  [sp  #0x30]
