Avg X Latency,Count,Saturated,Location,Line,Function,Assembly
0.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e5c,(null),???,str x1  [x0]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:46,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x0  [sp  #0x18]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:638,???,btree_get0,ldp x23  x24  [sp  #0x30]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:45,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x8  [sp  #0x20]
0.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:154,???,???,ldp q0  q1  [x1  #0x10]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:836,???,process_aux_record,ldur q1  [x3  #0xa8]
0.00,1,0,/usr/lib/aarch64-linux-gnu/stdio-common/vfscanf-internal.c:1868,???,???,ldr x1  [x29  #0x148]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4421,???,???,ldr x3  [x3  #0xe70]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4067,???,???,ldr x30  [x1  #8]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3306,???,???,ldr x0  [x23  #8]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe088,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1099b68,(null),_ZN4node9inspector12_GLOBAL__N_111HttpHandler17OnMessageCompleteEP18llhttp__internal_s,cmp x22  x0
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/iterator.rs:2383,???,_ZN4core4iter6traits8iterator8Iterator8try_fold17hf9cae488e74d6c3bE,str w8  [sp  #0x30]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:816,???,process_aux_record,ldp x6  x5  [x3  #0x10]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:2595,???,_ZN5alloc3vec16Vec$LT$T$C$A$GT$15append_elements17hf2652374cea29598E,ldr x8  [x9  #0x10]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/cmp.rs:1013,???,_ZN4core3cmp3Ord3max17h31d78dc79a95198fE,str x8  [sp  #0x48]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:998,???,_ZN4core6option15Option$LT$T$GT$9unwrap_or17h65c8a0d1b7c35127E,str x1  [sp  #0x10]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:787,???,process_aux_record,str q0  [x1  #0xa0]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:85,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17h77b625700594464fE,str s0  [sp  #0x9c]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/mod.rs:1999,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$18split_at_unchecked17hc31c0ca647f9cfadE,str x0  [sp  #0x10]
0.00,1,0,/usr/lib/aarch64-linux-gnu/nptl/pthread_rwlock_unlock.c:44,???,???,ldp x21  x22  [sp  #0x20]
0.00,2,0,/home/ubuntu/library/core/src/result.rs:2009,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$7reserve21do_reserve_and_handle17h34a2a76945f1dfc5E,ldr w8  [sp]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x19  x20  [sp  #0x10]
