L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line,Function,Assembly
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e8c,(null),???,str xzr  [x0  #0xd0]
100.00,66.67 | 33.33 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:684,???,process_record_buffer,ldrh w1  [x28  #4]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf74b4,(null),???,???
100.00,66.67 | 33.33 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x3  [sp  #0x78]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:149,???,???,ldr q3  [x1]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:163,???,???,ldp q2  q3  [x1  #0x70]
100.00,66.67 | 33.33 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4459,???,???,ldr x7  [x19  #0x18]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e5c,(null),???,str x1  [x0]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/nptl/pthread_rwlock_unlock.c:44,???,???,ldp x21  x22  [sp  #0x20]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/library/core/src/result.rs:2009,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$7reserve21do_reserve_and_handle17h34a2a76945f1dfc5E,ldr w8  [sp]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x19  x20  [sp  #0x10]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:977,???,_ZN81_$LT$aperf..data..processes..ProcessesRaw$u20$as$u20$aperf..data..CollectData$GT$12collect_data17hfa8ab6ad9e8cc3a0E,ldr x8  [sp  #0x568]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter.rs:0,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$12chunks_exact17h02ed23451d0f3f7bE,ldr x9  [sp  #0x20]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:894,???,process_aux_record,ldp x21  x22  [sp  #0x20]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:132,???,???,ldp q4  q5  [x1  #0x20]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:46,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x0  [sp  #0x18]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:899,???,process_aux_record,ldr x3  [sp  #0x248]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:525,???,btree_node_set,ldrb w3  [sp  #0x67]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldp x19  x20  [sp  #0x10]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f4,(null),???,???
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x9cf664,(null),???,???
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2010,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$14grow_amortized17hd3b1e645444d6d18E,ldr x10  [sp  #0x80]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:228,???,vm_spe_btree_compare,ldr x3  [x1  #8]
100.00,66.67 | 33.33 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x7  [x0  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x1  [x0]
